,word,link,sentence,synonyms,synset
0,a,sign/a/5820/1,My family grows watermelon in our garden.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01')
1,a,sign/a/5820/1,Apple's business plan is top secret.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01')
2,a,sign/a/5820/1,Kenny Walker is deaf and played football in the NFL for the Denver Broncos.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01')
3,a,sign/a/5820/1,We are having spaghetti and meatballs for dinner.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01')
4,a,sign/a/5820/1,"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01')
5,a,sign/a/8374/1,,"['A (as in ""the letter A"")']",
6,a+bit,sign/a+bit/7939/1,I like to have a bit of chocolate after every meal.,"['LITTLE (as in ""a quantity or amount- a little bit"")', 'LITTLE BIT', 'SPARSE', 'TINY (as in ""a quantity or amount- a tiny bit"")', 'TRACE (as in ""a small amount"")']",
7,a+lot,sign/a+lot/2905/1,I roller skated a lot when I was young.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",
8,a+lot,sign/a+lot/2905/1,The adoption process takes a lot of time.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",
9,a+lot,sign/a+lot/2905/1,My mentor has helped me a lot.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",
10,a+lot,sign/a+lot/2905/1,We have a lot of pride in our community.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",
11,a+lot,sign/a+lot/1780/1,We have a lot of pride in our community.,"['LOT (as in ""many"")', 'MANY', 'NUMEROUS', 'ONSLAUGHT', 'PLURAL', 'SCORES (as in ""a large quantity"")', 'TOO MANY']",
12,a+lot+more,sign/a+lot+more/8291/1,,"['ABOVE', 'EXCEED', 'EXCESS', 'MASSIVE', 'OVER (as in ""above"")', 'TOO MUCH']",
13,a+lot+of+attention,sign/a+lot+of+attention/12323/1,,"['SMOTHER (as in ""to emotionally smother"")']",
14,aa,sign/aa/6350/1,,"['AA (as in ""Associates Degree"")', 'ANN ARBOR (as in ""the city in Michigan"")', 'ASSOCIATES DEGREE']",
15,aa,sign/aa/10062/1,,['ASSOCIATES DEGREE'],
16,aaa,sign/aaa/10131/1,,[],
17,aaron,sign/aaron/10673/1,Aaron is my best friend.,[],Synset('aaron.n.02')
18,abandon,sign/abandon/2906/1,"It was sad, but I had to abandon my old car.","['CAST OFF', 'DISCARD', 'LEAVE (as in ""abandon and leave behind"")', 'LEFT (as in ""leave behind"")', 'LEFT (as in ""remain"")', 'LEFTOVER (as in ""things left"")', 'REMAIN (as in ""left"")']",Synset('abandon.v.01')
19,abashed,sign/abashed/13/1,I was so abashed about what I did.,"['ASHAMED', 'SHAME', 'SHAME ON YOU', 'SHAMED']",Synset('embarrass.v.01')
20,abbreviate,sign/abbreviate/1049/1,I'm in a hurry. Tell me the abbreviated version please!,"['ABBREVIATION', 'CONCISE', 'CONDENSE', 'IN A NUT SHELL', 'OUTLINE (as in ""summarize"")', 'POINT (as in ""concise or short"")', 'SHORTCUT (as in ""abbreviation"")', 'SUMMARIZE', 'SUMMARY', 'TRUNCATE (as in ""to shorten by cutting the end"")']",Synset('abridge.v.01')
21,abbreviation,sign/abbreviation/8803/1,,"['ABBREVIATE', 'CONCISE', 'CONDENSE', 'IN A NUT SHELL', 'OUTLINE (as in ""summarize"")', 'POINT (as in ""concise or short"")', 'SHORTCUT (as in ""abbreviation"")', 'SUMMARIZE', 'SUMMARY', 'TRUNCATE (as in ""to shorten by cutting the end"")']",
22,abby,sign/abby/10641/1,"Abby loves butterflies, monkeys and turtles.",[],
23,abc,sign/abc/10225/1,,"['ALPHABET', 'LETTER (as in ""a letter of the alphabet"")']",
24,abdomen,sign/abdomen/835/1,I'm doing sit‑ups so I have a flat abdomen.,"['BELLY', 'STOMACH', 'TUMMY']",Synset('abdominal_cavity.n.01')
25,abdominal+hernia,sign/abdominal+hernia/8026/1,,[],
26,abduct,sign/abduct/836/1,The girl was abducted from the park.,['KIDNAP'],Synset('kidnap.v.01')
27,abe,sign/abe/10733/1,Abe is my best friend.,[],
28,abigail,sign/abigail/10578/1,Abigail is my best friend.,[],
29,ability,sign/ability/5527/1,I have the ability to do well in school.,"['ABLE (as in ""being able to or can do something"")', 'AT-RISK (as in ""susceptible"")', 'CAPABLE (as in ""to be able or permitted to do something"")', 'MAYBE', 'PERHAPS', 'PLAUSIBLE', 'POSSIBILITY', 'POSSIBLE', 'POSSIBLY', 'POTENTIAL', 'PROBABILITY (as in ""statistical likelihood"")', 'PROBABLE']",Synset('ability.n.02')
30,ability,sign/ability/2907/1,She has the ability to teach others.,"['ABLE (as in ""skilled or proficient"")', 'ADEPT', 'AGILE', 'CAPABLE (as in ""skilled or proficient"")', 'EFFICIENT', 'EXPERT', 'EXPERTISE', 'HANDY', 'PROFICIENT', 'QUALIFICATION', 'QUALIFIED', 'QUALIFY (as in ""to be skilled"")', 'SAVVY', 'SKILL', 'TALENT']",Synset('ability.n.02')
31,ablaze,sign/ablaze/837/1,"When the firemen arrived, the whole house was ablaze.","['FIRE (as in ""something burning"")']",Synset('ablaze.s.02')
32,able,sign/able/838/1,He is able to do this.,"['ABILITY (as in ""capable or can do something"")', 'AT-RISK (as in ""susceptible"")', 'CAPABLE (as in ""to be able or permitted to do something"")', 'MAYBE', 'PERHAPS', 'PLAUSIBLE', 'POSSIBILITY', 'POSSIBLE', 'POSSIBLY', 'POTENTIAL', 'PROBABILITY (as in ""statistical likelihood"")', 'PROBABLE']",Synset('able.s.04')
33,able,sign/able/2908/1,Is she able to grow many flowers in the garden?,"['ABILITY (as in ""skilled, proficient, or good at"")', 'ADEPT', 'AGILE', 'CAPABLE (as in ""skilled or proficient"")', 'EFFICIENT', 'EXPERT', 'EXPERTISE', 'HANDY', 'PROFICIENT', 'QUALIFICATION', 'QUALIFIED', 'QUALIFY (as in ""to be skilled"")', 'SAVVY', 'SKILL', 'TALENT']",Synset('able.s.04')
34,able+to+walk,sign/able+to+walk/13702/1,,"['AMBULATORY (as in ""able to walk"")', 'CAN WALK']",
35,abnormal,sign/abnormal/8029/1,,[],
36,abolish,sign/abolish/1188/1,Slavery was abolished after the Civil War.,"['DELETE (as in ""perminently remove or discard"")', 'PURGE', 'REMOVE', 'UNINSTALL (as in ""removing software"")']",Synset('abolish.v.01')
37,about,sign/about/32/1,"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
38,about,sign/about/32/1,I like to learn about a building's history.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
39,about,sign/about/32/1,My uncle is very good at telling tales of his life on the farm.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
40,about,sign/about/32/1,"Matt Hamill is a Deaf wrestler. He won three NCAA National Championships, a silver and gold medal in the Deaflympics, and there is a movie about his life called “The Hammer.”","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
41,about,sign/about/32/1,We learn about Abraham Lincoln today in history class.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
42,about,sign/about/32/1,CJ Jones is a famous Deaf actor and comedian. He says “Anything is possible. Success has nothing to do with being deaf or black or any disability. It has to do with your passion to do greater things in life!”,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('about.r.07')
43,about,sign/about/32/1,The pharmacist answers questions about medications.,"['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('approximately.r.01')
44,about,sign/about/32/1,"Lou Ferrigno is hard of hearing and is a motivational speaker who shares his life experiences. He’s been in many movies and TV shows, but is most famous for playing The Incredible Hulk.","['CONCERNING', 'REGARD (as in ""about or concerning"")']",Synset('about.r.06')
45,about,sign/about/9367/1,,"['APPROXIMATE', 'APPROXIMATELY (as in ""close to time"")', 'AROUND (as in ""about time"")', 'REGION', 'THEREABOUTS']",
46,about+time,sign/about+time/2909/1,It's about time I finished this project!,"['ACCOMPLISH', 'ACCOMPLISHMENT', 'ACHIEVE', 'ACHIEVEMENT', 'AT LAST', 'ATTAIN', 'FINALLY', 'PAH', 'PRODUCTIVE (as in ""successful"")', 'SUCCEED', 'SUCCESS', 'SUCCESSFUL', 'TRIUMPH', 'TRIUMPHANT (as in ""the winner or victorious "")', 'WORK (as in ""something finally worked"")']",
47,above,sign/above/841/1,His work is above his classmates.,"['A LOT MORE', 'EXCEED', 'EXCESS', 'MASSIVE', 'OVER (as in ""above"")', 'TOO MUCH']",Synset('above.s.01')
48,abraham,sign/abraham/10577/1,Abraham is my best friend.,[],Synset('abraham.n.01')
49,abraham,sign/abraham/7324/1,The Bible says that Abraham was the father of many nations.,[],Synset('abraham.n.01')
50,abraham+lincoln,sign/abraham+lincoln/6935/1,We learn about Abraham Lincoln today in history class.,"['LINCOLN (as in ""the capital city of Nebraska"")']",
51,abraham+lincoln,sign/abraham+lincoln/6935/1,In 1864 Abraham Lincoln approved Gallaudet College to award degrees.,"['LINCOLN (as in ""the capital city of Nebraska"")']",
52,abrasion,sign/abrasion/7992/1,,"['SCRATCH (as in ""to itch"")']",
53,abrasive,sign/abrasive/9744/1,,"['COARSE (as in ""rough"")', 'ROUGH']",
54,abrupt,sign/abrupt/5953/1,The man stopped abruptly.,"['ACCELERATE', 'FAST (as in ""quick"")', 'FASTER', 'FLASH (as in ""fast"")', 'IMMEDIATELY', 'NIMBLE', 'QUICK (as in ""fast"")', 'RAPID', 'RAPIDLY (as in ""fast"")', 'SPED (as in ""the verb to travel at great speed"")', 'SPEEDING', 'SPEEDY', 'SPONTANEOUS', 'SPONTANEOUSLY', 'STAT (as in ""quick"")', 'SUDDEN', 'SUDDENLY', 'SWIFT', 'SWIFTLY']",Synset('abrupt.s.02')
55,abscess,sign/abscess/8036/1,,[],
56,absence,sign/absence/8318/1,,"['ABSENT (as in ""being gone"")', 'GONE (as in ""absent"")', 'MISSING (as in ""absent"")', 'SKIP (as in ""absent"")']",
57,absent,sign/absent/842/1,She was absent from all her classes this week.,"['ABSENCE (as in ""being away"")', 'GONE (as in ""absent"")', 'MISSING (as in ""absent"")', 'SKIP (as in ""absent"")']",Synset('lacking.s.02')
58,absolution,sign/absolution/6233/1,An absolution is a formal release of guilt.,"['DISCHARGE', 'DISMISS', 'DISPENSATION', 'EXCUSE (as in ""to exempt"")', 'EXEMPT (as in ""to excuse"")', 'EXPEL', 'LAY OFF', 'LOOPHOLE', 'PARDON', 'REVOKE (as in ""to dismiss"")', 'WAIVE (as in ""dismissed"")']",Synset('absolution.n.02')
59,absorb,sign/absorb/843/1,The towel absorbed all the moisture.,[],Synset('steep.v.01')
60,abstain,sign/abstain/7449/1,,"['ABSTINENCE (as in ""to refrain from eating"")', 'FAST (as in ""to refrain from eating"")', 'FASTING (as in ""to refrain from eating"")']",
