,Unnamed: 0,word,link,sentence,synonyms,synset,fingerspelled,variations
0,0,a,sign/a/5820/1,My family grows watermelon in our garden.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01'),True,1
1,1,a,sign/a/5820/1,Apple's business plan is top secret.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01'),True,1
2,2,a,sign/a/5820/1,Kenny Walker is deaf and played football in the NFL for the Denver Broncos.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01'),True,1
3,3,a,sign/a/5820/1,We are having spaghetti and meatballs for dinner.,"['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01'),True,1
4,4,a,sign/a/5820/1,"Phyllis Frelich was a deaf actress and famous for winning the 1980 Best Actress Tony Award for the play ""Children of a Lesser God.""","['A (as in ""the indefinite article"")']",Synset('vitamin_a.n.01'),True,1
5,5,a,sign/a/8374/1,,"['A (as in ""the letter A"")']",,True,1
6,6,a+bit,sign/a+bit/7939/1,I like to have a bit of chocolate after every meal.,"['LITTLE (as in ""a quantity or amount- a little bit"")', 'LITTLE BIT', 'SPARSE', 'TINY (as in ""a quantity or amount- a tiny bit"")', 'TRACE (as in ""a small amount"")']",,False,1
7,7,a+lot,sign/a+lot/2905/1,I roller skated a lot when I was young.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",,False,1
8,8,a+lot,sign/a+lot/2905/1,The adoption process takes a lot of time.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",,False,1
9,9,a+lot,sign/a+lot/2905/1,My mentor has helped me a lot.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",,False,1
10,10,a+lot,sign/a+lot/2905/1,We have a lot of pride in our community.,"['EXCESSIVE (as in ""a lot"")', 'LOT (as in ""many"")', 'MUCH (as in ""a large amount"")', 'ONSLAUGHT', 'SUPPLY (as in ""a large amount"")']",,False,1
